,region,shapeGroup,shapeType,crop_area_ha,Admin1,Admin2
0,Ariha,SYR,ADM3,"5,072.30",Idleb,Ariha
1,Ehsem,SYR,ADM3,"3,087.75",Idleb,Ariha
2,Mhambal,SYR,ADM3,"5,131.82",Idleb,Ariha
3,Jisr-Ash-Shugur,SYR,ADM3,"8,028.34",Idleb,Jisr-Ash-Shugur
4,Badama,SYR,ADM3,859.82,Idleb,Jisr-Ash-Shugur
5,Darkosh,SYR,ADM3,"2,506.98",Idleb,Jisr-Ash-Shugur
6,Janudiyeh,SYR,ADM3,"3,168.07",Idleb,Jisr-Ash-Shugur
7,Harim,SYR,ADM3,743.07,Idleb,Harim
8,Dana,SYR,ADM3,"3,747.19",Idleb,Harim
9,Salqin,SYR,ADM3,"4,128.04",Idleb,Harim
10,Kafr Takharim,SYR,ADM3,"1,100.28",Idleb,Harim
11,Qourqeena,SYR,ADM3,992.68,Idleb,Harim
12,Armanaz,SYR,ADM3,"2,887.75",Idleb,Harim
13,Abul Thohur,SYR,ADM3,"22,704.12",Idleb,Idleb
14,Bennsh,SYR,ADM3,"8,393.17",Idleb,Idleb
15,Saraqab,SYR,ADM3,"25,776.27",Idleb,Idleb
16,Teftnaz,SYR,ADM3,"8,507.02",Idleb,Idleb
17,Maaret Tamsrin,SYR,ADM3,"8,905.11",Idleb,Idleb
18,Sarmin,SYR,ADM3,"3,394.59",Idleb,Idleb
19,Idleb,SYR,ADM3,"11,666.89",Idleb,Idleb
20,Ma'arrat An Nu'man,SYR,ADM3,"15,305.37",Idleb,Al Ma'ra
21,Khan Shaykun,SYR,ADM3,"14,518.48",Idleb,Al Ma'ra
22,Sanjar,SYR,ADM3,"50,091.77",Idleb,Al Ma'ra
23,Kafr Nobol,SYR,ADM3,"5,703.78",Idleb,Al Ma'ra
24,Tamanaah,SYR,ADM3,"29,478.54",Idleb,Al Ma'ra
25,Heish,SYR,ADM3,"9,348.65",Idleb,Al Ma'ra
26,Quamishli,SYR,ADM3,"52,993.44",Al-Hasakeh,Quamishli
27,Tal Hmis,SYR,ADM3,"98,047.86",Al-Hasakeh,Quamishli
28,Amuda,SYR,ADM3,"86,932.93",Al-Hasakeh,Quamishli
29,Qahtaniyyeh,SYR,ADM3,"71,633.94",Al-Hasakeh,Quamishli
30,Al-Malikeyyeh,SYR,ADM3,"87,534.52",Al-Hasakeh,Al-Malikeyyeh
31,Jawadiyah,SYR,ADM3,"31,635.36",Al-Hasakeh,Al-Malikeyyeh
32,Ya'robiyah,SYR,ADM3,"73,620.86",Al-Hasakeh,Al-Malikeyyeh
33,Ras Al Ain,SYR,ADM3,"101,780.36",Al-Hasakeh,Ras Al Ain
34,Darbasiyah,SYR,ADM3,"82,091.45",Al-Hasakeh,Ras Al Ain
35,Al-Hasakeh,SYR,ADM3,"49,400.61",Al-Hasakeh,Al-Hasakeh
36,Tal Tamer,SYR,ADM3,"25,476.73",Al-Hasakeh,Al-Hasakeh
37,Shadadah,SYR,ADM3,"42,964.00",Al-Hasakeh,Al-Hasakeh
38,Markada,SYR,ADM3,"32,786.58",Al-Hasakeh,Al-Hasakeh
39,Be'r Al-Hulo Al-Wardeyyeh,SYR,ADM3,"52,616.61",Al-Hasakeh,Al-Hasakeh
40,Areesheh,SYR,ADM3,"18,460.48",Al-Hasakeh,Al-Hasakeh
41,Hole,SYR,ADM3,"13,181.78",Al-Hasakeh,Al-Hasakeh
42,Al-Thawrah,SYR,ADM3,734.99,Ar-Raqqa,Ath-Thawrah
43,Mansura,SYR,ADM3,"51,271.66",Ar-Raqqa,Ath-Thawrah
44,Jurneyyeh,SYR,ADM3,"28,544.33",Ar-Raqqa,Ath-Thawrah
45,Tell Abiad,[38.34508600000001,[38.344941000000006,"40,674.69",Ar-Raqqa,Tell Abiad
46,Suluk,SYR,ADM3,"82,167.36",Ar-Raqqa,Tell Abiad
47,Ein Issa,SYR,ADM3,"60,995.89",Ar-Raqqa,Tell Abiad
48,Ar-Raqqa,SYR,ADM3,"129,423.59",Ar-Raqqa,Ar-Raqqa
49,Sabka,SYR,ADM3,"20,276.36",Ar-Raqqa,Ar-Raqqa
50,Karama,SYR,ADM3,"41,025.83",Ar-Raqqa,Ar-Raqqa
51,Maadan,SYR,ADM3,"6,609.77",Ar-Raqqa,Ar-Raqqa
52,Shaqa,SYR,ADM3,"16,660.04",As-Sweida,Shahba
53,Ariqa,SYR,ADM3,"1,959.39",As-Sweida,Shahba
54,Little Sura,SYR,ADM3,"5,170.77",As-Sweida,Shahba
55,Shahba,SYR,ADM3,"4,586.17",As-Sweida,Shahba
56,Salkhad,SYR,ADM3,"6,876.22",As-Sweida,Salkhad
57,Qarayya,SYR,ADM3,"2,504.77",As-Sweida,Salkhad
58,Gharyeh,SYR,ADM3,"3,571.53",As-Sweida,Salkhad
59,Thibeen,SYR,ADM3,"5,387.59",As-Sweida,Salkhad
