,Region,ShapeGroup,shapeType,crop_area_ha,Admin1,Admin2
0,Ariha,SYR,ADM3,"3,656.02",Idleb,Ariha
1,Ehsem,SYR,ADM3,"2,250.94",Idleb,Ariha
2,Mhambal,SYR,ADM3,"5,091.30",Idleb,Ariha
3,Jisr-Ash-Shugur,SYR,ADM3,"8,576.27",Idleb,Jisr-Ash-Shugur
4,Badama,SYR,ADM3,"1,286.63",Idleb,Jisr-Ash-Shugur
5,Darkosh,SYR,ADM3,"2,628.62",Idleb,Jisr-Ash-Shugur
6,Janudiyeh,SYR,ADM3,"2,521.98",Idleb,Jisr-Ash-Shugur
7,Harim,SYR,ADM3,"1,136.00",Idleb,Harim
8,Dana,SYR,ADM3,"3,182.29",Idleb,Harim
9,Salqin,SYR,ADM3,"5,457.83",Idleb,Harim
10,Kafr Takharim,SYR,ADM3,267.45,Idleb,Harim
11,Qourqeena,SYR,ADM3,614.26,Idleb,Harim
12,Armanaz,SYR,ADM3,"2,890.70",Idleb,Harim
13,Abul Thohur,SYR,ADM3,"22,984.06",Idleb,Idleb
14,Bennsh,SYR,ADM3,"8,492.14",Idleb,Idleb
15,Saraqab,SYR,ADM3,"26,090.41",Idleb,Idleb
16,Teftnaz,SYR,ADM3,"8,572.64",Idleb,Idleb
17,Maaret Tamsrin,SYR,ADM3,"8,386.34",Idleb,Idleb
18,Sarmin,SYR,ADM3,"3,161.81",Idleb,Idleb
19,Idleb,SYR,ADM3,"9,245.96",Idleb,Idleb
20,Ma'arrat An Nu'man,SYR,ADM3,"21,965.55",Idleb,Al Ma'ra
21,Khan Shaykun,SYR,ADM3,"14,693.14",Idleb,Al Ma'ra
22,Sanjar,SYR,ADM3,"42,549.54",Idleb,Al Ma'ra
23,Kafr Nobol,SYR,ADM3,"6,868.81",Idleb,Al Ma'ra
24,Tamanaah,SYR,ADM3,"29,512.31",Idleb,Al Ma'ra
25,Heish,SYR,ADM3,"9,679.69",Idleb,Al Ma'ra
26,Quamishli,SYR,ADM3,"54,442.16",Al-Hasakeh,Quamishli
27,Tal Hmis,SYR,ADM3,"94,655.27",Al-Hasakeh,Quamishli
28,Amuda,SYR,ADM3,"98,430.81",Al-Hasakeh,Quamishli
29,Qahtaniyyeh,SYR,ADM3,"74,434.40",Al-Hasakeh,Quamishli
30,Al-Malikeyyeh,SYR,ADM3,"104,531.46",Al-Hasakeh,Al-Malikeyyeh
31,Jawadiyah,SYR,ADM3,"35,592.62",Al-Hasakeh,Al-Malikeyyeh
32,Ya'robiyah,SYR,ADM3,"79,756.25",Al-Hasakeh,Al-Malikeyyeh
33,Ras Al Ain,SYR,ADM3,"104,074.17",Al-Hasakeh,Ras Al Ain
34,Darbasiyah,SYR,ADM3,"89,200.80",Al-Hasakeh,Ras Al Ain
35,Al-Hasakeh,SYR,ADM3,"72,363.93",Al-Hasakeh,Al-Hasakeh
36,Tal Tamer,SYR,ADM3,"31,001.07",Al-Hasakeh,Al-Hasakeh
37,Shadadah,SYR,ADM3,"34,014.21",Al-Hasakeh,Al-Hasakeh
38,Markada,SYR,ADM3,"24,880.20",Al-Hasakeh,Al-Hasakeh
39,Be'r Al-Hulo Al-Wardeyyeh,SYR,ADM3,"52,899.29",Al-Hasakeh,Al-Hasakeh
40,Areesheh,SYR,ADM3,"15,985.91",Al-Hasakeh,Al-Hasakeh
41,Hole,SYR,ADM3,"10,883.94",Al-Hasakeh,Al-Hasakeh
42,Al-Thawrah,SYR,ADM3,720.51,Ar-Raqqa,Ath-Thawrah
43,Mansura,SYR,ADM3,"33,785.05",Ar-Raqqa,Ath-Thawrah
44,Jurneyyeh,SYR,ADM3,"26,722.17",Ar-Raqqa,Ath-Thawrah
45,Tell Abiad,SYR,ADM3,"45,554.24",Ar-Raqqa,Tell Abiad
46,Suluk,SYR,ADM3,"99,748.69",Ar-Raqqa,Tell Abiad
47,Ein Issa,SYR,ADM3,"86,752.71",Ar-Raqqa,Tell Abiad
48,Ar-Raqqa,SYR,ADM3,"135,384.96",Ar-Raqqa,Ar-Raqqa
49,Sabka,SYR,ADM3,"17,124.38",Ar-Raqqa,Ar-Raqqa
50,Karama,SYR,ADM3,"38,335.24",Ar-Raqqa,Ar-Raqqa
51,Maadan,SYR,ADM3,"6,447.41",Ar-Raqqa,Ar-Raqqa
52,Shaqa,SYR,ADM3,"10,988.48",As-Sweida,Shahba
53,Ariqa,SYR,ADM3,"2,671.30",As-Sweida,Shahba
54,Little Sura,SYR,ADM3,"1,984.43",As-Sweida,Shahba
55,Shahba,SYR,ADM3,"8,684.07",As-Sweida,Shahba
56,Salkhad,SYR,ADM3,"12,128.29",As-Sweida,Salkhad
57,Qarayya,SYR,ADM3,"7,374.84",As-Sweida,Salkhad
58,Gharyeh,SYR,ADM3,"3,326.69",As-Sweida,Salkhad
59,Thibeen,SYR,ADM3,"6,544.21",As-Sweida,Salkhad
60,Milh,SYR,ADM3,"24,637.69",As-Sweida,Salkhad
61,As-Sweida,SYR,ADM3,"30,114.14",As-Sweida,As-Sweida
62,Mazra'a,SYR,ADM3,"7,819.52",As-Sweida,As-Sweida
63,Mashnaf,SYR,ADM3,"89,618.33",As-Sweida,As-Sweida
64,Fiq,SYR,ADM3,"18,795.66",Quneitra,Al Fiq
65,Al-Butayhah,SYR,ADM3,"3,174.84",Quneitra,Al Fiq
66,Quneitra,SYR,ADM3,"13,407.12",Quneitra,Quneitra
67,Khan Arnaba,SYR,ADM3,"17,124.11",Quneitra,Quneitra
68,Al-Khashniyyeh,SYR,ADM3,"14,770.21",Quneitra,Quneitra
69,Masaada,SYR,ADM3,"5,327.34",Quneitra,Quneitra
70,Kansaba,SYR,ADM3,331.74,Lattakia,Al-Haffa
71,Salanfa,SYR,ADM3,377.13,Lattakia,Al-Haffa
72,Mzair'a,SYR,ADM3,473.25,Lattakia,Al-Haffa
73,Ein Et-teeneh,SYR,ADM3,110.51,Lattakia,Al-Haffa
74,Al-Haffa,SYR,ADM3,659.06,Lattakia,Al-Haffa
75,Fakhura,SYR,ADM3,552.19,Lattakia,Al-Qardaha
76,Jobet Berghal,SYR,ADM3,37.67,Lattakia,Al-Qardaha
77,Al-Qardaha,SYR,ADM3,521.85,Lattakia,Al-Qardaha
78,Harf Elmseitra,SYR,ADM3,39.29,Lattakia,Al-Qardaha
79,Jablah,SYR,ADM3,"1,583.50",Lattakia,Jablah
80,Qteilbiyyeh,SYR,ADM3,520.43,Lattakia,Jablah
81,Ein Shaqaq,SYR,ADM3,557.32,Lattakia,Jablah
82,Dalyeh,SYR,ADM3,59.49,Lattakia,Jablah
83,Ein Elsharqiyeh,SYR,ADM3,61.53,Lattakia,Jablah
84,Beit Yashout,SYR,ADM3,15,Lattakia,Jablah
85,Rabee'a,SYR,ADM3,272.24,Lattakia,Lattakia
86,Bahlolieh,SYR,ADM3,702.53,Lattakia,Lattakia
87,Ein El-Bayda,SYR,ADM3,"1,074.49",Lattakia,Lattakia
88,Kasab,SYR,ADM3,211.67,Lattakia,Lattakia
89,Hanadi,SYR,ADM3,758.99,Lattakia,Lattakia
90,Qastal Maaf,SYR,ADM3,"1,536.10",Lattakia,Lattakia
91,Lattakia,SYR,ADM3,"1,512.71",Lattakia,Lattakia
92,Aghtrin,SYR,ADM3,"28,339.77",Aleppo,A'zaz
93,Suran,SYR,ADM3,"14,717.48",Aleppo,A'zaz
94,Suran,SYR,ADM3,"14,717.48",Hama,Hama
95,A'zaz,SYR,ADM3,"13,090.86",Aleppo,A'zaz
96,Mare',SYR,ADM3,"15,596.23",Aleppo,A'zaz
97,Tall Refaat,SYR,ADM3,"17,515.31",Aleppo,A'zaz
98,Nabul,SYR,ADM3,"7,910.20",Aleppo,A'zaz
99,Ar-Ra'ee,SYR,ADM3,"29,209.00",Aleppo,Al Bab
100,A'rima,SYR,ADM3,"18,972.93",Aleppo,Al Bab
101,Al Bab,SYR,ADM3,"32,012.20",Aleppo,Al Bab
102,Tadaf,SYR,ADM3,"20,343.38",Aleppo,Al Bab
103,Rasm Haram El-Imam,SYR,ADM3,"15,543.43",Aleppo,Al Bab
104,Dayr Hafir,SYR,ADM3,"9,444.94",Aleppo,Al Bab
105,Eastern Kwaires,SYR,ADM3,"17,961.49",Aleppo,Al Bab
106,As-Safira,SYR,ADM3,"36,237.67",Aleppo,As-Safira
107,Banan,SYR,ADM3,"7,924.13",Aleppo,As-Safira
108,Hajeb,SYR,ADM3,"11,563.77",Aleppo,As-Safira
109,Khanaser,SYR,ADM3,"64,062.81",Aleppo,As-Safira
110,Tall Ed-daman,SYR,ADM3,"69,640.47",Aleppo,Jebel Saman
111,Hadher,SYR,ADM3,"10,131.84",Aleppo,Jebel Saman
112,Zarbah,SYR,ADM3,"29,578.07",Aleppo,Jebel Saman
113,Daret Azza,SYR,ADM3,"3,403.75",Aleppo,Jebel Saman
114,Atareb,SYR,ADM3,"15,047.58",Aleppo,Jebel Saman
115,Haritan,SYR,ADM3,"12,785.94",Aleppo,Jebel Saman
116,Jebel Saman,SYR,ADM3,"28,670.21",Aleppo,Jebel Saman
117,Jarablus,SYR,ADM3,"11,789.22",Aleppo,Jarablus
